Subject,L_I_II,L_III,L_IV,L_V,L_VI,L_Crus_I,L_Crus_II,L_VIIB,L_VIIIA,L_VIIIB,L_IX,L_X,L_CM,R_I_II,R_III,R_IV,R_V,R_VI,R_Crus_I,R_Crus_II,R_VIIB,R_VIIIA,R_VIIIB,R_IX,R_X,R_CM
output/fusion/majority_vote/sub-3554_run-1_desc-masked_preproc_T1w_labels.mnc,58,853,1893,3366,8194,11422,7093,3454,4946,3422,4117,459,7352,93,903,1896,3879,8044,13887,9489,4442,4258,3702,3853,643,7637
output/fusion/majority_vote/sub-3555_run-1_desc-masked_preproc_T1w_labels.mnc,109,1099,3003.01,4446.02,9496.03,15770.1,9529.03,4662.02,6248.02,3922.01,4172.02,724.003,9182.03,147.001,1150,2372.01,5102.02,9795.04,15694.1,10620,5112.02,5581.02,4084.01,4148.02,819.003,9568.03
output/fusion/majority_vote/sub-3563_run-1_desc-masked_preproc_T1w_labels.mnc,38,626,1662,3755,8344,10777,7106,3970,5083,3078,2987,504,7482,56,758,1608,3982,9215,12262,8510,4528,3709,3610,3082,575,7767
output/fusion/majority_vote/sub-3565_run-1_desc-masked_preproc_T1w_labels.mnc,89,837,2409,3885,8422,10581,9751,4436,6270,3393,4047,552,8952,122,942,1905,3791,8853,11607,12833,5204,4165,3421,4152,720,8905
output/fusion/majority_vote/sub-3569_run-1_desc-masked_preproc_T1w_labels.mnc,75,785,1863,3719,8115,9814,6394,3439,4257,2723,2858,400,7269,97,800,1934,3627,8199,10960,7681,4130,3505,2922,2950,504,7305
output/fusion/majority_vote/sub-3570_run-1_desc-masked_preproc_T1w_labels.mnc,95,1077,2911,4842,10262,14314,9373,4808,6702,3495,4065,521,10152,139,1445,2285,4929,10960,14572,11183,5933,5379,3451,4051,607,10294
output/fusion/majority_vote/sub-3571_run-1_desc-masked_preproc_T1w_labels.mnc,92,1171,2254,3693,8002,13385,11041,5341,7498,3413,4007,644,9552,99,1291,1973,4243,8693,15601,14219,5808,5313,3948,4206,697,9678
output/fusion/majority_vote/sub-3572_run-1_desc-masked_preproc_T1w_labels.mnc,74,895,2050,3848,6296,10625,7937,4361,4790,2712,3433,464,7382,109,1003,1676,3759,7100,11069,9041,4688,4329,3552,3297,565,7532
output/fusion/majority_vote/sub-3600_run-1_desc-masked_preproc_T1w_labels.mnc,90.5991,1075.74,2323.15,4168.51,11282.9,13631.8,9803.77,4568.1,7287.98,4348.75,3822.33,686.646,8884.43,123.978,1053.81,1888.28,4755.97,9867.67,15265.5,11887.6,6665.23,5456.92,3838.54,3846.17,776.291,9193.42
output/fusion/majority_vote/sub-3610_run-1_desc-masked_preproc_T1w_labels.mnc,84.877,925.064,1982.69,3624.92,7549.29,11151.3,9082.79,3989.22,5900.38,3407.48,4392.62,630.379,8126.26,104.904,1053.81,1984.6,3850.94,7370,12184.1,10744.1,5227.09,4347.8,2921.1,4233.36,643.73,8169.17
