lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-0064	3079.0	1568.0	4897.0	2974.0	1852.0	9260.0	10663.0	8674.0	2549.0	8921.0	8763.0	6033.0	6846.0	9389.0	2056.0	3204.0	4847.0	2361.0	4930.0	2078.0	11046.0	3628.0	12933.0	8818.0	2505.0	19916.0	30683.0	10761.0	13300.0	15214.0	788.0	2806.0	1236.0	6525.0	1198044.0	3132919.29087
sub-0066	2070.0	1621.0	6532.0	3267.0	2831.0	9738.0	13433.0	13216.0	2845.0	12560.0	8889.0	6216.0	5481.0	12123.0	2618.0	3742.0	4752.0	2462.0	4001.0	1943.0	9511.0	3379.0	14205.0	11346.0	3191.0	14709.0	23028.0	14357.0	10069.0	12093.0	724.0	2584.0	1179.0	7104.0	1084847.0	1462947.37819
sub-0067	1961.0	1984.0	5447.0	2932.0	2255.0	9591.0	12532.0	11596.0	2591.0	12437.0	7702.0	6415.0	4593.0	10722.0	2121.0	3498.0	3757.0	2702.0	3639.0	2278.0	9339.0	3173.0	13494.0	10126.0	2262.0	14068.0	20530.0	14586.0	12621.0	10045.0	836.0	2668.0	1394.0	6593.0	1040745.0	1385606.54043
sub-0071	2701.0	1508.0	5234.0	2660.0	2011.0	9489.0	11812.0	12365.0	2262.0	11929.0	6612.0	6059.0	4190.0	10491.0	1605.0	3647.0	3273.0	2082.0	2811.0	1650.0	8009.0	3123.0	12148.0	10692.0	3071.0	12487.0	20889.0	13022.0	12373.0	9513.0	975.0	2324.0	842.0	6429.0	1009957.0	1378600.06314
sub-0072	2321.0	946.0	6513.0	3596.0	2147.0	11123.0	12856.0	11126.0	3211.0	14487.0	8718.0	8015.0	7133.0	11689.0	1946.0	4036.0	4263.0	2720.0	3502.0	2701.0	12070.0	2786.0	14767.0	10017.0	2199.0	16423.0	23467.0	10854.0	11636.0	12818.0	872.0	2691.0	1448.0	7271.0	1131610.0	1525486.91608
sub-0073	580.0	255.0	1150.0	1193.0	55.0	1075.0	4242.0	1612.0	310.0	11774.0	1326.0	624.0	0.0	1325.0	0.0	2082.0	940.0	501.0	1258.0	894.0	2949.0	659.0	2722.0	2965.0	0.0	3592.0	3167.0	3129.0	3491.0	2745.0	15.0	530.0	1240.0	5087.0	428721.0	104144.590512
sub-0077	2260.0	2418.0	6427.0	4225.0	2068.0	12627.0	15043.0	14080.0	3340.0	15737.0	8666.0	7873.0	6546.0	10854.0	1975.0	3532.0	4413.0	2712.0	2892.0	2839.0	10180.0	3216.0	14096.0	12124.0	3191.0	14793.0	22294.0	16000.0	13570.0	12455.0	920.0	2409.0	977.0	8015.0	1243118.0	1638396.83303
sub-0078	2254.0	1788.0	4255.0	3819.0	2490.0	10417.0	13996.0	13779.0	2514.0	14717.0	9166.0	7347.0	5435.0	11540.0	2369.0	4460.0	5026.0	3072.0	4317.0	2004.0	11191.0	3434.0	14540.0	11946.0	3343.0	16257.0	22503.0	16025.0	12344.0	13501.0	924.0	3106.0	1392.0	8363.0	1164610.0	1591966.66264
sub-0079	1316.0	1268.0	5418.0	3683.0	2232.0	9974.0	12351.0	13229.0	2429.0	13779.0	8327.0	7822.0	4862.0	10517.0	2107.0	4182.0	4122.0	2971.0	2915.0	2597.0	8532.0	3249.0	14137.0	10391.0	1813.0	15498.0	26666.0	15721.0	7784.0	10033.0	937.0	2492.0	794.0	7286.0	1096560.0	1488425.96978
sub-0080	1766.0	2279.0	5944.0	3762.0	1875.0	9487.0	12390.0	13421.0	2415.0	13354.0	7597.0	7418.0	5469.0	11100.0	2088.0	3601.0	3794.0	2190.0	3363.0	2300.0	10343.0	3635.0	14986.0	10160.0	3033.0	18170.0	25970.0	14342.0	10271.0	10195.0	796.0	2141.0	1000.0	7495.0	1191370.0	1613504.469
sub-0082	2194.0	1584.0	7370.0	2921.0	2921.0	10827.0	12553.0	12336.0	3167.0	11922.0	8778.0	7559.0	5107.0	11240.0	2207.0	4039.0	5281.0	2720.0	4029.0	1965.0	9715.0	3412.0	15986.0	10277.0	3435.0	16969.0	26584.0	13995.0	12955.0	12515.0	1078.0	2500.0	1143.0	7643.0	1193592.0	1649751.03428
